backend,concurrency,prompt_label,prompt_tokens,output_tokens,ttft_ms,total_ms,tpot_ms,throughput_toks
colab_A100_fp16,1,short_64,64,32,174.41,783.67,19.653,40.83
colab_A100_fp16,1,short_64,64,32,173.9,758.99,18.874,42.16
colab_A100_fp16,1,short_64,64,32,173.83,783.11,19.654,40.86
colab_A100_fp16,1,short_64,64,32,445.17,1194.64,24.176,26.79
colab_A100_fp16,1,short_64,64,32,445.06,1194.46,24.174,26.79
colab_A100_fp16,1,short_64,64,32,445.1,1194.45,24.173,26.79
colab_A100_fp16,1,short_64,64,32,411.51,1174.49,24.612,27.25
colab_A100_fp16,1,short_64,64,32,375.65,1151.65,25.032,27.79
colab_A100_fp16,1,short_64,64,32,375.43,1151.64,25.039,27.79
colab_A100_fp16,1,short_64,64,32,444.8,1194.26,24.176,26.79
colab_A100_fp16,1,short_64,64,32,410.54,1173.62,24.616,27.27
colab_A100_fp16,1,short_64,64,32,443.77,1193.25,24.177,26.82
colab_A100_fp16,1,short_64,64,32,374.48,1150.65,25.037,27.81
colab_A100_fp16,1,short_64,64,32,410.26,1173.37,24.616,27.27
colab_A100_fp16,1,short_64,64,32,410.07,1173.12,24.614,27.28
colab_A100_fp16,1,short_64,64,32,388.55,1165.52,25.064,27.46
colab_A100_fp16,1,short_64,64,32,443.24,1192.46,24.168,26.84
colab_A100_fp16,1,short_64,64,32,443.17,1192.71,24.179,26.83
colab_A100_fp16,1,short_64,64,32,317.28,1125.67,26.077,28.43
colab_A100_fp16,1,short_64,64,32,409.59,1172.69,24.616,27.29
colab_A100_fp16,2,short_64,64,32,176.09,762.09,18.903,41.99
colab_A100_fp16,2,short_64,64,32,175.63,761.73,18.907,42.01
colab_A100_fp16,2,short_64,64,32,175.7,739.0,18.171,43.3
colab_A100_fp16,2,short_64,64,32,423.36,1209.63,25.364,26.45
colab_A100_fp16,2,short_64,64,32,423.06,1197.42,24.979,26.72
colab_A100_fp16,2,short_64,64,32,423.56,1198.08,24.984,26.71
colab_A100_fp16,2,short_64,64,32,422.87,1197.28,24.981,26.73
colab_A100_fp16,2,short_64,64,32,344.01,1161.63,26.375,27.55
colab_A100_fp16,2,short_64,64,32,344.22,1168.63,26.594,27.38
colab_A100_fp16,2,short_64,64,32,423.0,1198.0,25.0,26.71
colab_A100_fp16,2,short_64,64,32,422.39,1208.91,25.372,26.47
colab_A100_fp16,2,short_64,64,32,422.28,1196.92,24.988,26.74
colab_A100_fp16,2,short_64,64,32,422.05,1196.87,24.994,26.74
colab_A100_fp16,2,short_64,64,32,422.59,1197.62,25.001,26.72
colab_A100_fp16,2,short_64,64,32,421.94,1197.1,25.005,26.73
colab_A100_fp16,2,short_64,64,32,421.76,1208.69,25.385,26.47
colab_A100_fp16,2,short_64,64,32,421.5,1196.1,24.987,26.75
colab_A100_fp16,2,short_64,64,32,342.96,1160.46,26.371,27.58
colab_A100_fp16,2,short_64,64,32,342.46,1167.35,26.609,27.41
colab_A100_fp16,2,short_64,64,32,421.57,1196.49,24.997,26.74
colab_A100_fp16,4,short_64,64,32,163.32,819.04,21.152,39.07
colab_A100_fp16,4,short_64,64,32,159.21,791.34,20.391,40.44
colab_A100_fp16,4,short_64,64,32,159.14,791.23,20.39,40.44
colab_A100_fp16,4,short_64,64,32,426.14,1209.48,25.269,26.46
colab_A100_fp16,4,short_64,64,32,383.35,1193.09,26.121,26.82
colab_A100_fp16,4,short_64,64,32,392.02,1192.82,25.832,26.83
colab_A100_fp16,4,short_64,64,32,343.23,1177.5,26.912,27.18
colab_A100_fp16,4,short_64,64,32,425.76,1209.1,25.269,26.47
colab_A100_fp16,4,short_64,64,32,415.49,1208.35,25.576,26.48
colab_A100_fp16,4,short_64,64,32,419.18,1208.72,25.469,26.47
colab_A100_fp16,4,short_64,64,32,419.13,1208.85,25.475,26.47
colab_A100_fp16,4,short_64,64,32,419.11,1208.37,25.46,26.48
colab_A100_fp16,4,short_64,64,32,425.26,1208.37,25.262,26.48
colab_A100_fp16,4,short_64,64,32,415.11,1208.13,25.581,26.49
colab_A100_fp16,4,short_64,64,32,382.56,1191.89,26.107,26.85
colab_A100_fp16,4,short_64,64,32,382.5,1191.61,26.1,26.85
colab_A100_fp16,4,short_64,64,32,418.69,1208.24,25.469,26.48
colab_A100_fp16,4,short_64,64,32,418.69,1208.05,25.463,26.49
colab_A100_fp16,4,short_64,64,32,342.19,1175.99,26.897,27.21
colab_A100_fp16,4,short_64,64,32,414.57,1207.57,25.581,26.5
colab_A100_fp16,8,short_64,64,32,178.19,696.65,16.724,45.93
colab_A100_fp16,8,short_64,64,32,178.96,746.68,18.313,42.86
colab_A100_fp16,8,short_64,64,32,178.91,746.47,18.308,42.87
colab_A100_fp16,8,short_64,64,32,433.07,1210.22,25.069,26.44
colab_A100_fp16,8,short_64,64,32,432.92,1209.78,25.06,26.45
