backend,concurrency,prompt_label,prompt_tokens,output_tokens,ttft_ms,total_ms,tpot_ms,throughput_toks
kaggle_2xT4_tp2,1,short_64,64,27,247.46,1598.7,51.97,16.89
kaggle_2xT4_tp2,1,short_64,64,27,247.08,1597.8,51.951,16.9
kaggle_2xT4_tp2,1,short_64,64,27,183.24,1525.94,51.642,17.69
kaggle_2xT4_tp2,1,short_64,64,27,544.79,1863.46,50.718,14.49
kaggle_2xT4_tp2,1,short_64,64,27,558.44,1862.83,50.169,14.49
kaggle_2xT4_tp2,1,short_64,64,27,544.92,1842.74,49.916,14.65
kaggle_2xT4_tp2,1,short_64,64,27,558.27,1862.81,50.175,14.49
kaggle_2xT4_tp2,1,short_64,64,27,450.13,1746.88,49.875,15.46
kaggle_2xT4_tp2,1,short_64,64,27,450.09,1747.75,49.91,15.45
kaggle_2xT4_tp2,1,short_64,64,27,558.12,1863.29,50.199,14.49
kaggle_2xT4_tp2,1,short_64,64,27,557.82,1862.24,50.17,14.5
kaggle_2xT4_tp2,1,short_64,64,27,557.07,1862.54,50.21,14.5
kaggle_2xT4_tp2,1,short_64,64,27,557.07,1861.16,50.157,14.51
kaggle_2xT4_tp2,1,short_64,64,27,543.19,1861.14,50.691,14.51
kaggle_2xT4_tp2,1,short_64,64,27,557.3,1848.36,49.656,14.61
kaggle_2xT4_tp2,1,short_64,64,27,472.62,1781.9,50.357,15.15
kaggle_2xT4_tp2,1,short_64,64,27,543.4,1851.11,50.297,14.59
kaggle_2xT4_tp2,1,short_64,64,27,556.3,1861.0,50.181,14.51
kaggle_2xT4_tp2,1,short_64,64,27,448.86,1746.6,49.913,15.46
kaggle_2xT4_tp2,1,short_64,64,27,556.44,1859.92,50.134,14.52
kaggle_2xT4_tp2,2,short_64,64,27,205.99,1394.21,45.701,19.37
kaggle_2xT4_tp2,2,short_64,64,27,237.39,1443.74,46.398,18.7
kaggle_2xT4_tp2,2,short_64,64,27,269.97,1476.37,46.4,18.29
kaggle_2xT4_tp2,2,short_64,64,27,461.8,1710.95,48.044,15.78
kaggle_2xT4_tp2,2,short_64,64,27,564.89,1783.22,46.859,15.14
kaggle_2xT4_tp2,2,short_64,64,27,564.16,1781.9,46.836,15.15
kaggle_2xT4_tp2,2,short_64,64,27,461.29,1707.52,47.932,15.81
kaggle_2xT4_tp2,2,short_64,64,27,564.56,1781.78,46.816,15.15
kaggle_2xT4_tp2,2,short_64,64,27,563.88,1782.03,46.852,15.15
kaggle_2xT4_tp2,2,short_64,64,27,563.71,1781.69,46.845,15.15
kaggle_2xT4_tp2,2,short_64,64,27,563.89,1782.37,46.865,15.15
kaggle_2xT4_tp2,2,short_64,64,27,411.86,1662.26,48.092,16.24
kaggle_2xT4_tp2,2,short_64,64,27,563.39,1782.71,46.897,15.15
kaggle_2xT4_tp2,2,short_64,64,27,411.75,1662.02,48.087,16.25
