backend,prompt_label,concurrency,ttft_p50,ttft_p95,ttft_p99,tpot_mean,throughput_mean,n
colab_A100_fp16,long_1024,1,386.615,406.11400000000003,406.3268,25.52275,35.612,20
colab_A100_fp16,long_1024,2,419.70000000000005,442.651,442.8182,25.56305,35.3445,20
colab_A100_fp16,long_1024,4,460.025,475.53049999999996,475.5381,25.7991,34.729,20
colab_A100_fp16,long_1024,8,472.05,473.9825,474.1725,25.3887,35.086,20
colab_A100_fp16,long_1024,16,437.82000000000005,469.2045,469.5769,25.32575,35.5495,20
colab_A100_fp16,medium_256,1,482.135,484.7345,489.51489999999995,25.2268,35.477,20
colab_A100_fp16,medium_256,2,732.775,733.639,734.3838000000001,25.76585,32.816500000000005,20
colab_A100_fp16,medium_256,4,548.265,590.408,592.0496,24.3478,35.796,20
colab_A100_fp16,medium_256,8,379.4,458.111,480.4702,25.0664,35.969,20
colab_A100_fp16,medium_256,16,465.48,467.7015,467.7243,25.06415,35.66,20
colab_A100_fp16,short_64,1,410.16499999999996,445.1035,445.1567,23.83635,29.357,20
colab_A100_fp16,short_64,2,421.85,423.37,423.522,24.39835,29.195,20
colab_A100_fp16,short_64,4,414.84000000000003,425.779,426.0678,24.9888,28.648000000000003,20
colab_A100_fp16,short_64,8,432.05,457.2285,457.5097,24.03575,29.145999999999997,20
colab_A100_fp16,short_64,16,469.79499999999996,473.21299999999997,473.4106,22.7267,29.5125,20
kaggle_2xT4_tp2,long_1024,1,497.17499999999995,615.5944999999999,616.1188999999999,47.21515,19.727,20
kaggle_2xT4_tp2,long_1024,2,579.96,585.6405,585.6481,47.281150000000004,19.674500000000002,20
kaggle_2xT4_tp2,long_1024,4,607.095,612.015,634.891,47.0681,19.669,20
kaggle_2xT4_tp2,long_1024,8,594.7,604.9309999999999,604.9462,47.22695,19.697,20
kaggle_2xT4_tp2,long_1024,16,534.86,599.192,599.3743999999999,47.21355,19.734,20
kaggle_2xT4_tp2,medium_256,1,510.735,552.687,552.9454,47.21325,19.81,20
kaggle_2xT4_tp2,medium_256,2,537.77,550.1895,550.4858999999999,46.43915,20.085,20
kaggle_2xT4_tp2,medium_256,4,550.905,552.0205,552.1801,46.6717,19.9575,20
kaggle_2xT4_tp2,medium_256,8,529.2349999999999,532.105,564.8609999999999,46.70605,20.0125,20
kaggle_2xT4_tp2,medium_256,16,503.24,581.4075,581.9775,46.6836,20.036,20
kaggle_2xT4_tp2,short_64,1,544.855,558.2785,558.4077000000001,50.41455,15.093,20
kaggle_2xT4_tp2,short_64,2,563.105,564.5764999999999,564.8272999999999,47.1045,15.9355,20
kaggle_2xT4_tp2,short_64,4,532.845,538.6465,538.8973,47.53215,16.042,20
kaggle_2xT4_tp2,short_64,8,516.775,578.4970000000001,578.7554,46.929449999999996,15.9575,20
kaggle_2xT4_tp2,short_64,16,533.9,534.9430000000001,534.9886,48.07835,15.803,20
